filename,style,aspect_ratio,prompt
bg-texture-maps.png,Seamless Pattern,16:9,"Abstract seamless pattern of thin contour lines inspired by ocean depth maps, soft blue lines on a light background, clean and subtle nautical texture."
about-hero-heritage.jpg,Cinematic Photography,16:9,"Vintage style black and white or sepia photo of a classic sailboat racing in the 1990s, dynamic angle, film grain, capturing the history and tradition of sailing, authentic maritime atmosphere."
about-value-passion.jpg,Photorealistic Macro,1:1,"Close up detail of a hand gripping a wooden tiller or rudder, salt spray, sunlight focusing on the texture of the wood and water, symbolizing passion for the sea, high detail, warm lighting."
about-value-experience.jpg,Photorealistic Photography,1:1,"Experienced captain looking out to the horizon with binoculars, weathered face, wearing nautical gear, soft focus background of the sea, wisdom and safety, natural lighting."
about-value-community.jpg,Photorealistic Photography,1:1,"Group of sailors sharing a meal or laughing on a boat deck at sunset, warm golden hour light, genuine smiles, sense of camaraderie and family, relaxed atmosphere."
home-cta-join.jpg,Cinematic Photography,16:9,"Wide shot of a sailboat heading towards a stunning sunset, symbolizing a journey and new beginnings, inspirational and emotional, warm colors, silhouette of the boat against the sun."
home-fleet-preview.jpg,Cinematic Photography,16:9,"Wide drone shot of a fleet of white J80 sailboats docked in a modern marina in Getxo, orderly rows, calm blue water, golden sunset light reflecting on the hulls, high quality architectural photography style."
rental-category-windsurf.jpg,Action Photography,4:3,"Dynamic shot of a windsurfer gliding fast over water, splashing spray, colorful sail, sunny day with blue sky, focus on action and speed."
rental-category-kayak.jpg,Lifestyle Photography,4:3,"Two people kayaking in a calm bay near cliffs, calm water, perspective from slightly above, bright and cheerful colors, nature and exploration vibe."
rental-category-paddle.jpg,Lifestyle Photography,4:3,"Person doing stand up paddle boarding on a calm morning, glass-like water reflecting the sky, peaceful and meditative, soft sunrise lighting."
rental-category-dinghy.jpg,Action Photography,4:3,"Small white sailing dinghy (Optimist or Laser) sailing fast, leaning with the wind, young sailor hiking out, water spray, dynamic and fun."
course-license-navigation.jpg,Photorealistic Photography,16:9,"Navigation chart and tools on a table, compass, ruler, pencil, hands plotting a course, focus on the technical aspect of navigation, bridge of a boat background, educational and professional."
